Calorias,Tiempo,Peso,Velocidad
177.9,13.7,61.2,12.3
644.1,51.9,62.6,11.5
929.4,55.4,69.3,14.0
941.2,61.9,80.1,11.0
303.1,19.9,95.6,9.2
342.3,16.9,80.2,14.6
373.2,25.9,76.6,10.9
461.0,28.6,68.6,13.6
1469.1,58.0,96.6,15.2
359.9,18.3,74.9,15.2
997.7,71.3,69.7,11.6
378.3,25.7,64.9,13.1
708.2,46.6,67.8,13.0
859.0,54.9,63.1,14.4
507.8,33.0,65.3,13.6
716.5,72.9,48.8,11.7
122.0,10.9,70.0,9.3
779.2,34.1,84.8,15.6
956.2,87.8,69.0,9.1
607.1,48.7,71.6,10.1
321.7,17.0,88.1,12.4
244.8,18.9,60.4,12.4
761.5,56.7,70.2,11.1
947.4,52.5,72.6,14.4
153.7,7.8,72.7,15.7
591.1,37.8,57.5,15.7
643.3,35.4,68.5,15.4
638.6,49.5,63.0,11.9
422.3,26.3,76.7,12.1
749.3,40.1,72.5,14.9
287.8,21.2,72.0,10.9
1118.1,72.2,74.1,12.1
900.0,70.6,65.8,11.2
612.2,48.2,63.1,11.7
712.6,44.6,72.8,12.7
439.9,43.9,62.6,9.3
746.6,33.5,84.2,15.3
597.8,32.7,68.8,15.4
535.9,29.6,75.3,13.9
369.7,30.1,72.8,9.8
575.9,35.3,66.8,14.1
813.3,51.9,67.5,13.4
807.0,47.6,65.3,15.1
451.0,24.8,69.7,15.1
465.5,37.0,65.0,11.2
294.1,16.7,74.2,13.7
948.7,45.5,80.8,14.9
696.0,39.7,64.5,15.8
593.9,69.4,54.7,9.1
142.5,10.5,64.0,12.3
270.2,17.4,60.2,14.9
417.9,33.4,75.2,9.6
807.6,41.5,83.9,13.4
1070.8,49.7,78.5,15.9
614.7,30.8,81.8,14.1
850.9,50.7,82.1,11.8
96.0,6.2,77.2,11.5
755.0,64.5,73.1,9.3
243.8,14.2,85.0,11.7
806.3,74.0,53.7,11.8
982.2,64.7,78.6,11.2
72.6,6.8,55.3,11.3
864.9,45.1,72.1,15.4
423.2,27.8,62.6,14.1
292.8,19.4,75.5,11.5
924.6,61.4,75.7,11.5
592.2,69.5,54.8,9.0
723.5,58.8,61.4,11.6
944.9,59.7,83.3,11.0
291.6,24.6,72.0,9.5
879.5,43.7,74.2,15.7
907.5,66.8,73.4,10.7
212.0,8.7,96.1,14.7
215.7,15.2,70.8,11.6
496.2,31.1,61.0,15.2
435.4,30.9,71.4,11.4
488.7,32.4,84.7,10.3
941.2,50.6,69.8,15.4
716.9,72.6,54.5,10.5
86.0,5.9,72.9,11.7
257.3,20.5,63.1,11.5
475.6,44.1,62.7,10.0
681.7,43.4,68.0,13.4
493.8,35.0,69.8,11.7
1025.7,65.8,66.8,13.5
511.3,38.1,75.5,10.3
472.7,34.1,51.2,15.7
186.7,10.9,67.2,14.8
566.6,43.2,54.5,14.0
883.2,64.5,73.0,10.9
1091.3,90.0,73.0,9.6
764.9,71.7,62.6,9.9
116.1,7.4,63.0,14.4
1153.3,77.5,93.6,9.2
729.7,64.7,71.4,9.1
916.8,70.6,74.8,10.1
543.2,33.4,74.3,12.7
551.5,36.6,62.1,14.0
598.0,56.2,58.7,10.5
570.2,29.9,78.9,14.0
91.7,5.4,71.6,13.8
296.7,14.4,74.9,15.9
195.4,10.9,67.5,15.3
982.7,73.1,67.9,11.5
707.7,38.0,76.2,14.2
502.9,30.9,69.2,13.6
917.1,56.7,71.1,13.2
91.6,5.3,85.2,11.8
792.9,59.7,75.3,10.2
1221.2,59.6,78.8,15.1
136.3,9.4,56.3,15.0
179.7,13.8,61.3,12.3
1094.4,61.8,78.2,13.1
817.9,57.3,87.2,9.5
770.0,50.4,56.8,15.6
844.9,70.7,72.5,9.6
1081.0,57.5,74.6,14.6
370.0,20.3,72.3,14.6
970.7,53.1,75.8,14.0
1126.8,63.7,77.1,13.3
454.8,30.5,67.4,12.8
517.2,32.1,75.3,12.4
313.9,18.7,69.5,14.0
446.4,36.1,74.9,9.6
720.1,39.3,79.5,13.3
996.7,68.0,64.6,13.1
653.3,30.0,83.1,15.2
347.4,30.5,64.7,10.2
973.2,69.6,79.3,10.2
411.9,27.5,71.1,12.2
898.2,61.2,64.0,13.3
699.0,47.0,66.2,13.0
412.8,24.4,70.8,13.9
832.6,61.4,62.7,12.5
314.1,19.6,58.4,15.9
605.2,36.1,68.6,14.2
306.5,25.7,57.6,12.0
845.1,43.6,76.1,14.7
513.2,49.6,61.5,9.7
205.6,12.7,85.5,11.0
1033.8,83.7,73.0,9.8
313.4,21.1,57.7,14.9
669.0,46.6,57.5,14.5
262.2,20.3,49.6,15.1
437.3,24.1,71.1,14.8
643.5,53.4,67.5,10.3
325.3,17.1,80.3,13.7
154.2,12.9,72.1,9.6
473.9,34.3,66.3,12.1
1240.2,52.1,88.0,15.7
814.5,53.5,76.8,11.5
782.6,73.7,65.8,9.3
1024.0,55.4,70.0,15.3
